央视频道,#genre#
天津卫视,http://1.202.9.192:8888/rtp/225.1.8.48:8044$1920x1080
天津卫视,http://115.171.216.54:4000/rtp/225.1.8.48:8044$1920x1080
天津卫视,http://222.71.11.180:4022/rtp/239.45.1.124:5140$1920x1080
天津卫视,http://tv.100inns.com:4022/rtp/239.45.1.124:5140$1920x1080
天津卫视,http://115.171.216.54:4000/rtp/225.1.8.136:8144$720x576
四川卫视,http://116.232.156.147:8888/rtp/239.45.1.83:5140$1920x1080
四川卫视,http://101.83.74.79:8686/rtp/239.45.1.83:5140$1920x1080
四川卫视,http://116.234.13.241:9898/rtp/239.45.1.83:5140$1920x1080
四川卫视,http://58.37.82.140:56789/rtp/239.45.1.83:5140$1920x1080
四川卫视,http://58.37.91.48:4000/rtp/239.45.1.83:5140$1920x1080
四川卫视,http://tv.100inns.com:4022/rtp/239.45.1.83:5140$1920x1080
四川卫视,http://222.71.11.180:4022/rtp/239.45.1.83:5140$1920x1080
四川卫视,http://115.171.216.54:4000/rtp/225.1.8.142:8288$720x576
四川卫视,http://1.202.9.192:8888/rtp/225.1.8.142:8288$720x576
重庆卫视,http://58.37.82.140:56789/rtp/239.45.1.84:5140$1920x1080
重庆卫视,http://116.232.156.147:8888/rtp/239.45.1.84:5140$1920x1080
重庆卫视,http://101.83.74.79:8686/rtp/239.45.1.84:5140$1920x1080
重庆卫视,http://58.37.91.48:4000/rtp/239.45.1.84:5140$1920x1080
重庆卫视,http://116.234.13.241:9898/rtp/239.45.1.84:5140$1920x1080
重庆卫视,http://222.71.11.180:4022/rtp/239.45.1.84:5140$1920x1080
重庆卫视,http://tv.100inns.com:4022/rtp/239.45.1.84:5140$1920x1080
重庆卫视,http://115.171.216.54:4000/rtp/225.1.8.148:8296$720x576
重庆卫视,http://1.202.9.192:8888/rtp/225.1.8.148:8296$720x576
贵州卫视,http://116.232.156.147:8888/rtp/239.45.1.80:5140$1920x1080
贵州卫视,http://101.83.74.79:8686/rtp/239.45.1.80:5140$1920x1080
贵州卫视,http://116.234.13.241:9898/rtp/239.45.1.80:5140$1920x1080
贵州卫视,http://58.37.82.140:56789/rtp/239.45.1.80:5140$1920x1080
贵州卫视,http://58.37.91.48:4000/rtp/239.45.1.80:5140$1920x1080
贵州卫视,http://222.71.11.180:4022/rtp/239.45.1.80:5140$1920x1080
贵州卫视,http://tv.100inns.com:4022/rtp/239.45.1.80:5140$1920x1080
贵州卫视,http://115.171.216.54:4000/rtp/225.1.8.144:8120$720x576
贵州卫视,http://1.202.9.192:8888/rtp/225.1.8.144:8120$720x576
海南卫视,http://116.232.156.147:8888/rtp/239.45.1.81:5140$1920x1080
海南卫视,http://101.83.74.79:8686/rtp/239.45.1.81:5140$1920x1080
海南卫视,http://58.37.82.140:56789/rtp/239.45.1.81:5140$1920x1080
海南卫视,http://58.37.91.48:4000/rtp/239.45.1.81:5140$1920x1080
海南卫视,http://116.234.13.241:9898/rtp/239.45.1.81:5140$1920x1080
海南卫视,http://tv.100inns.com:4022/rtp/239.45.1.81:5140$1920x1080
海南卫视,http://222.71.11.180:4022/rtp/239.45.1.81:5140$1920x1080
海南卫视,http://115.171.216.54:4000/rtp/225.1.8.158:8304$720x576
